-0.00,-0.00,-0.00
0.01,-0.07,-0.01
0.02,-0.13,-0.02
-0.04,-0.16,-0.03
-0.09,-0.14,-0.02
-0.11,-0.10,-0.03
-0.20,-0.09,-0.42
-0.28,-0.08,-0.81
-0.29,-0.09,-1.21
-0.27,-0.11,-1.63
-0.25,-0.17,-2.05
-0.26,-0.24,-2.48
-0.29,-0.30,-2.91
-0.31,-0.30,-3.35
-0.34,-0.29,-3.89
-0.41,-0.24,-4.48
-0.48,-0.18,-5.08
-0.50,-0.18,-5.68
-0.45,-0.22,-6.33
-0.43,-0.25,-6.97
-0.44,-0.29,-7.60
-0.39,-0.35,-8.31
-0.35,-0.40,-8.98
-0.29,-0.34,-9.72
-0.33,-0.37,-10.45
-0.30,-0.35,-11.21
-0.30,-0.40,-12.04
-0.25,-0.44,-12.84
-0.17,-0.41,-13.72
-0.13,-0.42,-14.60
-0.10,-0.40,-15.47
-0.10,-0.38,-16.44
-0.16,-0.43,-17.36
-0.12,-0.43,-18.35
-0.11,-0.46,-19.40
-0.11,-0.43,-20.40
-0.10,-0.41,-21.52
-0.13,-0.48,-22.59
-0.07,-0.54,-23.74
0.02,-0.50,-24.95
0.05,-0.46,-26.06
0.09,-0.43,-27.28
0.10,-0.50,-28.44
0.07,-0.47,-29.66
0.03,-0.44,-30.95
0.04,-0.45,-32.17
0.00,-0.49,-33.48
-0.06,-0.43,-34.81
-0.13,-0.38,-36.21
-0.16,-0.36,-37.70
-0.12,-0.38,-39.11
-0.11,-0.45,-40.61
-0.07,-0.45,-42.12
-0.08,-0.48,-43.65
-0.08,-0.48,-45.26
-0.08,-0.45,-46.77
-0.06,-0.39,-48.36
-0.12,-0.35,-49.97
-0.12,-0.27,-51.61
-0.12,-0.24,-53.32
-0.12,-0.19,-54.93
-0.12,-0.25,-56.62
-0.08,-0.27,-58.39
-0.17,-0.27,-60.04
-0.27,-0.30,-61.77
-0.37,-0.35,-63.52
-0.36,-0.42,-65.28
-0.26,-0.49,-67.12
-0.19,-0.51,-68.84
-0.11,-0.50,-70.62
-0.14,-0.52,-72.41
-0.14,-0.51,-74.21
-0.16,-0.54,-76.07
-0.25,-0.48,-77.79
-0.29,-0.43,-79.59
-0.26,-0.46,-81.37
-0.27,-0.47,-83.14
-0.27,-0.44,-84.97
-0.30,-0.39,-86.67
-0.28,-0.30,-88.42
-0.26,-0.24,-90.16
-0.27,-0.21,-91.89
-0.30,-0.28,-93.68
-0.27,-0.31,-95.31
-0.28,-0.39,-96.99
-0.26,-0.40,-98.71
-0.20,-0.35,-100.28
-0.15,-0.31,-101.96
-0.15,-0.21,-103.62
-0.14,-0.16,-105.24
-0.10,-0.20,-106.88
-0.13,-0.18,-108.37
-0.15,-0.16,-109.95
-0.17,-0.11,-111.44
-0.15,-0.15,-112.85
-0.08,-0.17,-114.34
0.01,-0.15,-115.73
0.04,-0.20,-117.14
0.06,-0.21,-118.46
0.06,-0.17,-119.71
0.09,-0.15,-121.03
0.12,-0.11,-122.27
0.13,-0.10,-123.38
0.23,-0.11,-124.55
0.27,-0.12,-125.62
0.19,-0.12,-129.42
-0.30,0.06,-130.67
-0.18,-0.20,-131.59
-0.15,-0.26,-132.73
-0.07,-0.29,-133.76
-0.05,-0.35,-134.83
-0.06,-0.30,-135.84
-0.09,-0.23,-136.78
-0.10,-0.26,-137.78
-0.09,-0.23,-138.71
-0.09,-0.26,-139.62
-0.12,-0.34,-140.49
-0.14,-0.42,-141.35
-0.20,-0.41,-142.18
-0.23,-0.40,-142.99
-0.23,-0.31,-143.78
-0.26,-0.31,-144.53
-0.35,-0.28,-143.94
-0.48,-0.30,-144.22
-0.31,-0.46,-144.84
-0.22,-0.63,-145.60
-0.21,-0.64,-146.26
-0.17,-0.59,-146.95
-0.14,-0.57,-147.57
-0.17,-0.54,-147.97
-0.22,-0.60,-148.60
-0.26,-0.64,-149.18
-0.25,-0.64,-149.70
-0.19,-0.61,-150.19
-0.20,-0.54,-150.64
-0.24,-0.54,-151.11
-0.19,-0.60,-151.56
-0.24,-0.59,-151.99
-0.26,-0.54,-152.41
-0.27,-0.50,-152.80
-0.28,-0.41,-153.22
-0.26,-0.33,-153.61
-0.27,-0.30,-153.99
-0.21,-0.24,-155.10
0.15,-0.92,-155.63
1.65,-2.27,-156.19
2.42,-3.31,-155.65
3.34,-3.56,-156.00
3.36,-3.45,-156.15
2.99,-3.03,-156.48
2.59,-2.59,-156.37
2.15,-2.23,-156.25
